"","id","uri","product_page","type"
"1",1,"/businessindustryandtrade/constructionindustry/bulletins/constructionoutputingreatbritain/latest","/businessindustryandtrade/constructionindustry","bulletin"
"2",2,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomy/latest","/businessindustryandtrade/constructionindustry","bulletin"
"3",3,"/businessindustryandtrade/internationaltrade/bulletins/internationaltradeinservices/latest","/businessindustryandtrade/internationaltrade","bulletin"
"4",4,"/economy/nationalaccounts/balanceofpayments/bulletins/uktradeingoodsbyclassificationofproductbyactivitycpa08/latest","/businessindustryandtrade/internationaltrade","bulletin"
"5",5,"/economy/nationalaccounts/balanceofpayments/bulletins/uktrade/latest","/businessindustryandtrade/internationaltrade","bulletin"
"6",6,"/businessindustryandtrade/itandinternetindustry/bulletins/ecommerceandictactivity/latest","/businessindustryandtrade/itandinternetindustry","bulletin"
"7",7,"/businessindustryandtrade/manufacturingandproductionindustry/bulletins/ukmanufacturerssalesbyproductprodcom/latest","/businessindustryandtrade/manufacturingandproductionindustry","bulletin"
"8",8,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomy/latest","/businessindustryandtrade/manufacturingandproductionindustry","bulletin"
"9",9,"/businessindustryandtrade/retailindustry/bulletins/retailsales/latest","/businessindustryandtrade/retailindustry","bulletin"
"10",10,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomy/latest","/businessindustryandtrade/retailindustry","bulletin"
"11",11,"/peoplepopulationandcommunity/leisureandtourism/bulletins/overseastravelandtourism/latest","/businessindustryandtrade/tourismindustry","bulletin"
"12",12,"/economy/nationalaccounts/satelliteaccounts/bulletins/uktourismsatelliteaccountuktsa/latest","/businessindustryandtrade/tourismindustry","bulletin"
"13",13,"/economy/environmentalaccounts/bulletins/ukenvironmentalaccounts/latest","/economy/environmentalaccounts","bulletin"
"14",14,"/economy/grossdomesticproductgdp/bulletins/grossdomesticproductpreliminaryestimate/latest","/economy/grossdomesticproductgdp","bulletin"
"15",15,"/economy/grossdomesticproductgdp/bulletins/quarterlynationalaccounts/latest","/economy/grossdomesticproductgdp","bulletin"
"16",16,"/economy/grossdomesticproductgdp/bulletins/secondestimateofgdp/latest","/economy/grossdomesticproductgdp","bulletin"
"17",17,"/economy/grossdomesticproductgdp/bulletins/businessinvestment/latest","/economy/grossdomesticproductgdp","bulletin"
"18",18,"/economy/nationalaccounts/satelliteaccounts/bulletins/consumertrends/latest","/economy/grossdomesticproductgdp","bulletin"
"19",19,"/businessindustryandtrade/constructionindustry/bulletins/outputintheconstructionindustry/latest","/economy/grossdomesticproductgdp","bulletin"
"20",20,"/businessindustryandtrade/retailindustry/bulletins/retailsales/latest","/economy/grossdomesticproductgdp","bulletin"
"21",21,"/economy/economicoutputandproductivity/output/bulletins/indexofproduction/latest","/economy/grossdomesticproductgdp","bulletin"
"22",22,"/economy/economicoutputandproductivity/output/bulletins/indexofservices/latest","/economy/grossdomesticproductgdp","bulletin"
"23",23,"/economy/grossvalueaddedgva/bulletins/regionalgrossvalueaddedincomeapproach/latest","/economy/grossvalueaddedgva","bulletin"
"24",24,"/economy/grossvalueaddedgva/bulletins/regionalgrossvalueaddedproductionapproach/latest","/economy/grossvalueaddedgva","bulletin"
"25",25,"/economy/grossdomesticproductgdp/bulletins/grossdomesticproductpreliminaryestimate/latest","/economy/grossvalueaddedgva","bulletin"
"26",26,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomy/latest","/economy/grossvalueaddedgva","bulletin"
"27",27,"/economy/inflationandpriceindices/bulletins/consumerpriceinflation/latest","/economy/inflationandpriceindices","bulletin"
"28",28,"/economy/inflationandpriceindices/bulletins/producerpriceinflation/latest","/economy/inflationandpriceindices","bulletin"
"29",29,"/economy/inflationandpriceindices/bulletins/housepriceindex/latest","/economy/inflationandpriceindices","bulletin"
"30",30,"/economy/inflationandpriceindices/bulletins/indexofprivatehousingrentalprices/latest","/economy/inflationandpriceindices","bulletin"
"31",31,"/economy/inflationandpriceindices/bulletins/servicesproducerpriceindices/latest","/economy/inflationandpriceindices","bulletin"
"32",32,"/economy/investmentspensionsandtrusts/bulletins/mq5investmentbyinsurancecompaniespensionfundsandtrusts/latest","/economy/investmentspensionsandtrusts","bulletin"
"33",33,"/economy/investmentspensionsandtrusts/bulletins/ownershipofukquotedshares/latest","/economy/investmentspensionsandtrusts","bulletin"
"34",34,"/peoplepopulationandcommunity/personalandhouseholdfinances/pensionssavingsandinvestments/bulletins/occupationalpensionschemessurvey/latest","/economy/investmentspensionsandtrusts","bulletin"
"35",35,"/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/latest","/peoplepopulationandcommunity/crimeandjustice","bulletin"
"36",36,"/peoplepopulationandcommunity/crimeandjustice/bulletins/focusonpropertycrime/latest","/peoplepopulationandcommunity/crimeandjustice","bulletin"
"37",37,"/peoplepopulationandcommunity/housing/bulletins/housepricestatisticsforsmallareas/latest","/peoplepopulationandcommunity/housing","bulletin"
"38",38,"/economy/inflationandpriceindices/bulletins/housepriceindex/latest","/peoplepopulationandcommunity/housing","bulletin"
"39",39,"/peoplepopulationandcommunity/culturalidentity/sexuality/bulletins/integratedhouseholdsurvey/latest","/peoplepopulationandcommunity/housing","bulletin"
"40",40,"/economy/inflationandpriceindices/bulletins/indexofprivatehousingrentalprices/latest","/peoplepopulationandcommunity/housing","bulletin"
"41",41,"/peoplepopulationandcommunity/housing/bulletins/2011censusnumberofpeoplewithsecondaddressesinlocalauthoritiesinenglandandwales/latest","/peoplepopulationandcommunity/housing","bulletin"
"42",42,"/peoplepopulationandcommunity/leisureandtourism/bulletins/overseastravelandtourism/latest","/peoplepopulationandcommunity/leisureandtourism","bulletin"
"43",43,"/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/latest","/peoplepopulationandcommunity/wellbeing","bulletin"
"44",44,"/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/economicwellbeing/latest","/peoplepopulationandcommunity/wellbeing","bulletin"
"45",45,"/economy/environmentalaccounts/bulletins/ukenvironmentalaccounts/latest","/peoplepopulationandcommunity/wellbeing","bulletin"
"46",46,"/businessindustryandtrade/business/activitysizeandlocation/bulletins/ukbusinessactivitysizeandlocation/latest","/businessindustryandtrade/business/activitysizeandlocation","bulletin"
"47",47,"/businessindustryandtrade/business/activitysizeandlocation/bulletins/businessdemography/latest","/businessindustryandtrade/business/activitysizeandlocation","bulletin"
"48",48,"/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/bulletins/businessenterpriseresearchanddevelopment/latest","/businessindustryandtrade/business/businessinnovation","bulletin"
"49",49,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomy/latest","/businessindustryandtrade/business/businessservices","bulletin"
"50",50,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomyannualbusinesssurvey/latest","/businessindustryandtrade/business/businessservices","bulletin"
"51",51,"/businessindustryandtrade/itandinternetindustry/bulletins/ecommerceandictactivity/latest","/businessindustryandtrade/business/businessservices","bulletin"
"52",52,"/businessindustryandtrade/business/activitysizeandlocation/bulletins/businessdemography/latest","/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates","bulletin"
"53",53,"/businessindustryandtrade/changestobusiness/mergersandacquisitions/bulletins/mergersandacquisitionsinvolvingukcompanies/latest","/businessindustryandtrade/changestobusiness/mergersandacquisitions","bulletin"
"54",54,"/economy/grossdomesticproductgdp/bulletins/grossdomesticproductpreliminaryestimate/latest","/economy/economicoutputandproductivity/output","bulletin"
"55",55,"/businessindustryandtrade/retailindustry/bulletins/retailsales/latest","/economy/economicoutputandproductivity/output","bulletin"
"56",56,"/economy/economicoutputandproductivity/output/bulletins/indexofservices/latest","/economy/economicoutputandproductivity/output","bulletin"
"57",57,"/businessindustryandtrade/constructionindustry/bulletins/outputintheconstructionindustry/latest","/economy/economicoutputandproductivity/output","bulletin"
"58",58,"/economy/economicoutputandproductivity/output/bulletins/indexofproduction/latest","/economy/economicoutputandproductivity/output","bulletin"
"59",59,"/businessindustryandtrade/business/businessservices/bulletins/uknonfinancialbusinesseconomy/latest","/economy/economicoutputandproductivity/output","bulletin"
"60",60,"/employmentandlabourmarket/peopleinwork/labourproductivity/bulletins/labourproductivity/latest","/economy/economicoutputandproductivity/productivitymeasures","bulletin"
"61",61,"/economy/economicoutputandproductivity/productivitymeasures/bulletins/internationalcomparisonsofproductivityfinalestimates/latest","/economy/economicoutputandproductivity/productivitymeasures","bulletin"
"62",62,"/economy/governmentpublicsectorandtaxes/publicsectorfinance/bulletins/publicsectorfinances/latest","/economy/governmentpublicsectorandtaxes/publicsectorfinance","bulletin"
"63",63,"/economy/governmentpublicsectorandtaxes/publicspending/bulletins/eugovernmentdeficitanddebtreturnincludingmaastrichtsupplementarydatatables/latest","/economy/governmentpublicsectorandtaxes/publicsectorfinance","bulletin"
"64",64,"/economy/governmentpublicsectorandtaxes/publicsectorfinance/bulletins/eugovernmentdeficitanddebtreturn/latest","/economy/governmentpublicsectorandtaxes/publicsectorfinance","bulletin"
"65",65,"/economy/governmentpublicsectorandtaxes/publicspending/bulletins/eugovernmentdeficitanddebtreturnincludingmaastrichtsupplementarydatatables/latest","/economy/governmentpublicsectorandtaxes/publicspending","bulletin"
"66",66,"/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/bulletins/ukgrossdomesticexpenditureonresearchanddevelopment/latest","/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure","bulletin"
"67",67,"/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/bulletins/businessenterpriseresearchanddevelopment/latest","/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure","bulletin"
"68",68,"/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/bulletins/ukgovernmentexpenditureonscienceengineeringandtechnology/latest","/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure","bulletin"
"69",69,"/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/theeffectsoftaxesandbenefitsonhouseholdincome/latest","/economy/governmentpublicsectorandtaxes/taxesandrevenue","bulletin"
"70",70,"/economy/nationalaccounts/balanceofpayments/bulletins/unitedkingdombalanceofpaymentsthepinkbook/latest","/economy/nationalaccounts/balanceofpayments","bulletin"
"71",71,"/economy/nationalaccounts/balanceofpayments/bulletins/balanceofpayments/latest","/economy/nationalaccounts/balanceofpayments","bulletin"
"72",72,"/economy/nationalaccounts/balanceofpayments/bulletins/uktrade/latest","/economy/nationalaccounts/balanceofpayments","bulletin"
"73",73,"/economy/nationalaccounts/balanceofpayments/bulletins/uktradeingoodsbyclassificationofproductbyactivitycpa08/latest","/economy/nationalaccounts/balanceofpayments","bulletin"
"74",74,"/businessindustryandtrade/internationaltrade/bulletins/internationaltradeinservices/latest","/economy/nationalaccounts/balanceofpayments","bulletin"
"75",75,"/economy/nationalaccounts/balanceofpayments/bulletins/foreigndirectinvestmentinvolvingukcompanies/latest","/economy/nationalaccounts/balanceofpayments","bulletin"
"76",76,"/economy/nationalaccounts/satelliteaccounts/bulletins/consumertrends/latest","/economy/nationalaccounts/satelliteaccounts","bulletin"
"77",77,"/economy/nationalaccounts/satelliteaccounts/bulletins/uktourismsatelliteaccountuktsa/latest","/economy/nationalaccounts/satelliteaccounts","bulletin"
"78",78,"/economy/environmentalaccounts/bulletins/ukenvironmentalaccounts/latest","/economy/nationalaccounts/satelliteaccounts","bulletin"
"79",79,"/economy/investmentspensionsandtrusts/bulletins/mq5investmentbyinsurancecompaniespensionfundsandtrusts/latest","/economy/nationalaccounts/uksectoraccounts","bulletin"
"80",80,"/economy/nationalaccounts/uksectoraccounts/bulletins/profitabilityofukcompanies/latest","/economy/nationalaccounts/uksectoraccounts","bulletin"
"81",81,"/economy/grossdomesticproductgdp/bulletins/quarterlynationalaccounts/latest","/economy/nationalaccounts/uksectoraccounts","bulletin"
"82",82,"/economy/nationalaccounts/uksectoraccounts/bulletins/nationalbalancesheet/latest","/economy/nationalaccounts/uksectoraccounts","bulletin"
"83",83,"/economy/nationalaccounts/uksectoraccounts/bulletins/capitalstocksconsumptionoffixedcapital/latest","/economy/nationalaccounts/uksectoraccounts","bulletin"
"84",84,"/economy/regionalaccounts/grossdisposablehouseholdincome/bulletins/regionalgrossdisposablehouseholdincomegdhi/latest","/economy/regionalaccounts/grossdisposablehouseholdincome","bulletin"
"85",85,"/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/indexoflabourcostsperhourilch/latest","/employmentandlabourmarket/peopleinwork/earningsandworkinghours","bulletin"
"86",86,"/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/latest","/employmentandlabourmarket/peopleinwork/earningsandworkinghours","bulletin"
"87",87,"/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/annualsurveyofhoursandearnings/latest","/employmentandlabourmarket/peopleinwork/earningsandworkinghours","bulletin"
"88",88,"/employmentandlabourmarket/peopleinwork/workplacepensions/bulletins/annualsurveyofhoursandearningspensiontables/latest","/employmentandlabourmarket/peopleinwork/earningsandworkinghours","bulletin"
"89",89,"/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/lowpay/latest","/employmentandlabourmarket/peopleinwork/earningsandworkinghours","bulletin"
"90",90,"/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/latest","/employmentandlabourmarket/peopleinwork/employmentandemployeetypes","bulletin"
