id,uri,type,title,summary,metaDescription,contactEmail,contactName,contactTelephone
bulletin_1, /businessindustryandtrade /constructionindustry /bulletins /constructionoutputingreatbritain /may2016,bulletin,Construction output in Great Britain,Construction output is a monthly estimate of the output of the construction industry in both the private and public sectors. The estimates are an important component of gross domestic product.,Construction output at current price and chained volume measures seasonally adjusted by public and private sector.,construction.statistics @ons.gsi.gov.uk,Melanie Richard,+44 (0)1633 456344
bulletin_2, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomy /2014regionalresultsannualbusinesssurvey,bulletin,UK non-financial business economy,Size and growth of the UK non-financial sectors within the 12 NUTS 1 regions of the UK as estimated by the Annual Business Survey. ,Size and growth within the UK non-financial sectors as measured by the Annual Business Survey. ,abs@ons.gsi.gov.uk,Jon Gough ,+44 (0)1633 456720 
bulletin_3, /businessindustryandtrade /internationaltrade /bulletins /internationaltradeinservices /latest,bulletin, International Trade in Services,"The UK's imports and exports of services analysed by product, industry and country.","The UK's imports and exports of services analysed by product, industry and country.",itis@ons.gsi.gov.uk ,Michael Hardie,+44 (0)1633 455923
bulletin_4, /economy /nationalaccounts /balanceofpayments /bulletins /uktradeingoodsbyclassificationofproductbyactivitycpa08 /latest,bulletin,UK Trade in Goods by Classification of Product by Activity CPA(08),The value of UK exports and imports of goods grouped by industry. Goods are attributed to the industry of which they are the principal products.,The value of UK exports and imports of goods grouped by industry. Goods are attributed to the industry of which they are the principal products.,trade.in.goods @ons.gsi.gov.uk,Katherine Kent,+44 (0)1633 455829
bulletin_5, /economy /nationalaccounts /balanceofpayments /bulletins /uktrade /may2016,bulletin,UK trade,"Total value of UK imports and exports of goods together with indices of volume and price, including an early monthly estimate of the value of trade in services","Trade in goods, classified by the Standard International Trade Classification (SITC), and monthly estimates for total trade in services",trade.in.goods @ons.gsi.gov.uk,Katherine Kent,+44 (0)1633 455829
bulletin_6, /businessindustryandtrade /itandinternetindustry /bulletins /ecommerceandictactivity /latest,bulletin,E-Commerce and ICT Activity,The value of e-commerce sales and the level of use by UK businesses of information and communication technologies.,The value of e-commerce sales and the level of use by UK businesses of information and communication technologies.,ecommerce@ons.gsi.gov.uk,Cecil Prescott,+44 (0)1633 456767
bulletin_7, /businessindustryandtrade /manufacturingandproductionindustry /bulletins /ukmanufacturerssalesbyproductprodcom /provisionalestimates2015,bulletin,UK Manufacturers’ Sales by Product (PRODCOM),First estimates of UK manufacturing sales by product (PRODCOM).,The sales by UK based manufacturers of the individual products covered by the PRODCOM survey.,prodcompublications @ons.gsi.gov.uk,William Barnes,+44 (0)1633 456746
bulletin_8, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomy /2014regionalresultsannualbusinesssurvey,bulletin,UK non-financial business economy,Size and growth of the UK non-financial sectors within the 12 NUTS 1 regions of the UK as estimated by the Annual Business Survey. ,Size and growth within the UK non-financial sectors as measured by the Annual Business Survey. ,abs@ons.gsi.gov.uk,Jon Gough ,+44 (0)1633 456720 
bulletin_9, /businessindustryandtrade /retailindustry /bulletins /retailsales /june2016,bulletin,Retail sales in Great Britain,"Changes in the volume and value of sales of goods by retail businesses in Great Britain, providing a timely indicator of economic performance and the strength of consumer spending.","Retail sales is a monthly estimate of the quantity bought and amount spent in the retail industry, covering 95% of all known turnover in Great Britain.",retail.sales.enquiries @ons.gsi.gov.uk,Melanie Richard ,+44 (0)1633 455602
bulletin_10, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomy /2014regionalresultsannualbusinesssurvey,bulletin,UK non-financial business economy,Size and growth of the UK non-financial sectors within the 12 NUTS 1 regions of the UK as estimated by the Annual Business Survey. ,Size and growth within the UK non-financial sectors as measured by the Annual Business Survey. ,abs@ons.gsi.gov.uk,Jon Gough ,+44 (0)1633 456720 
bulletin_11, /peoplepopulationandcommunity /leisureandtourism /bulletins /overseastravelandtourism /may2016,bulletin,Overseas travel and tourism,"Visits to the UK by overseas residents, visits abroad by UK residents, and spending by travellers, using provisional passenger traffic data.",Monthly estimates of completed international visits to and from the UK and earnings and expenditure associated with these visits.,socialsurveys @ons.gsi.gov.uk,Giles Horsfield,+44 (0)1633 455731
bulletin_12, /economy /nationalaccounts /satelliteaccounts /bulletins /uktourismsatelliteaccountuktsa /latest,bulletin,The UK Tourism Satellite Account (UK-TSA),This release is part of a series of Tourism Satellite Accounts produced by ONS following international guidelines and methodology.,The UK Tourism Satellite Account is based on internationally accepted methodology and provides a detailed picture of the economic value of tourism to the UK economy,sean.white@ons.gsi.gov.uk,Anna Bodey and Sean White,+44 (0)1633 455687
