,uri,type,description,summary,parent,start-date,end-date
/businessindustryandtrade,/businessindustryandtrade,taxonomy_landing_page,"Business, industry and trade","Activities of businesses and industry in the UK, including data on the production and trade of goods and services, sales by retailers, characteristics of businesses, the construction and manufacturing sectors, and international trade.",,,
/economy,/economy,taxonomy_landing_page,Economy,"UK economic activity covering production, distribution, consumption and trade of goods and services. Individuals, businesses, organisations and governments all affect the development of the economy.",,,
/employmentandlabourmarket,/employmentandlabourmarket,taxonomy_landing_page,Employment and labour market,"People in and out of work covering employment, unemployment, types of work, earnings, working patterns and workplace disputes.",,,
/peoplepopulationandcommunity,/peoplepopulationandcommunity,taxonomy_landing_page,"People, population and community","People living in the UK, changes in the population, how we spend our money, and data on crime, relationships, health and religion. These statistics help us build a detailed picture of how we live.",,,
5,/businessindustryandtrade/business,taxonomy_landing_page,Business,"UK businesses registered for VAT and PAYE with regional breakdowns, including data on size (employment and turnover) and activity (type of industry), research and development, and business services.",/businessindustryandtrade,,
6,/businessindustryandtrade/changestobusiness,taxonomy_landing_page,Changes to business,"UK business growth, survival and change over time. These figures are an informal indicator of confidence in the UK economy.",/businessindustryandtrade,,
7,/businessindustryandtrade/constructionindustry,product_page,Construction industry,"Construction of new buildings and repairs or alterations to existing properties in Great Britain measured by the amount charged for the work, including work by civil engineering companies. ",/businessindustryandtrade,,
8,/businessindustryandtrade/internationaltrade,product_page,International trade,"Trade in goods and services across the UK's international borders, including total imports and exports, the types of goods and services traded and general trends in international trade. ",/businessindustryandtrade,,
9,/businessindustryandtrade/itandinternetindustry,product_page,IT and internet industry,Internet sales by businesses in the UK (total value and as a percentage of all retail sales) and the percentage of businesses that have a website and broadband connection. These figures indicate the importance of the internet to UK businesses.,/businessindustryandtrade,,
10,/businessindustryandtrade/manufacturingandproductionindustry,product_page,Manufacturing and production industry,"UK manufacturing and other production industries (such as mining and quarrying, energy supply, water supply and waste management), including total UK production output, and UK manufactures' sales by product and industrial division, with EU comparisons.",/businessindustryandtrade,,
11,/businessindustryandtrade/retailindustry,product_page,Retail industry,"Sales by retailers in Great Britain directly to end consumers, including spending on goods (in store and online) (Retail Sales Index) and spending on services (Index of Services). The industry as a whole is used as an indicator of how the wider economy is performing and the strength of consumer spending.",/businessindustryandtrade,,
12,/businessindustryandtrade/tourismindustry,product_page,Tourism industry,"Tourism and travel (including accommodation services, food and beverage services, passenger transport services, vehicle hire, travel agencies and sports, recreational and conference services), employment levels and output of the tourism industry, the number of visitors to the UK and the amount they spend.",/businessindustryandtrade,,
13,/economy/economicoutputandproductivity,taxonomy_landing_page,Economic output and productivity,"Manufacturing, production and services indices (measuring total economic output) and productivity (measuring efficiency, expressed as a ratio of output to input over a given period of time, for example output per person per hour).",/economy,,
14,/economy/environmentalaccounts,product_page,Environmental accounts,"Environmental accounts show how the environment contributes to the economy (for example, through the extraction of raw materials), the impacts that the economy has on the environment (for example, energy consumption and air emissions), and how society responds to environmental issues (for example, through taxation and expenditure on environmental protection). This site also hosts the development of natural capital accounts, more information is available in the Methodology section.",/economy,,
